Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Engagement_Score
TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,Medium,0.1291059560020214
Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Low,0.11244098807971241
Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,0.14125155371581177
YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Medium,0.25687427760305287
TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,High,6.05642401257978
Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Medium,0.37132791262392656
YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,High,0.706812301010948
YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,Medium,0.25180101853706494
Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,High,0.38927865710573245
TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,0.07751109177546388
Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,Medium,0.13964806802000426
Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,0.15071257868808238
YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,Low,0.09903886131578159
YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,Medium,0.3133339252854383
Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,Medium,0.22950736106222616
YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Low,0.10059569671059958
Twitter,#Dance,Reel,UK,294870,213142,20351,20767,High,1.070739647980466
TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,0.1326406288165664
TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,0.10244444482967241
YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Medium,0.19948554866962773
Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,High,40.704576090812346
TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Low,0.0667030883145118
YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,High,0.5208014458972332
Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,Medium,0.15986709963236467
YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,1.062332875820925
YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,0.0787513027371837
Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,0.07150272586204529
YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,0.2812311109949281
Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Medium,0.19928085436484638
YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Low,0.07080956082062144
Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Medium,0.3277255236498237
Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,0.19193875830150778
YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,0.022967840081584142
YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,0.09394807138296765
YouTube,#Education,Tweet,UK,936390,368646,92202,2016,High,0.6933905744401371
TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,Medium,0.11771821902838459
Instagram,#Music,Reel,Germany,48908,205884,37256,14618,High,7.092663776887217
Instagram,#Dance,Video,India,1367820,10794,7617,36639,Low,0.07817037329473177
TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,Medium,0.18254763624094933
Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Medium,0.1216997670091212
